Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Ficus tikoua,PROFITMAX,FALSE,FALSE,Liu et al. (2011),Ficus,tikoua,NA,1621
Glycine max,PROFITMAX,FALSE,TRUE,Liu et al. (2005),Glycine,max,NA,1604
Helianthus annuus,PROFITMAX,FALSE,TRUE,Tezara et al. (2008),Helianthus,annuus,NA,1622
Hypericum balearicum,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Lysimachia minoricensis,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Lysimachia,minoricensis,NA,1633
Malva subovata,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Olea europaea var. Chemlali,PROFITMAX,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Chemlali,1635
Olea europaea var. Meski,PROFITMAX,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Meski,1634
Phlomis italica,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,PROFITMAX,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pinus sylvestris,PROFITMAX,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608
Pistacia lentiscus,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Platycarya longipes,PROFITMAX,FALSE,FALSE,Liu et al. (2010),Platycarya,longipes,NA,1617
Populus tremula,PROFITMAX,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Pseudotsuga macrocarpa,PROFITMAX,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,macrocarpa,NA,1601
Pseudotsuga menziesii,PROFITMAX,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600
Pteroceltis tatarinowii,PROFITMAX,FALSE,FALSE,Liu et al. (2010),Pteroceltis,tatarinowii,NA,1618
Pyracantha fortuneana,PROFITMAX,FALSE,FALSE,Liu et al. (2010),Pyracantha,fortuneana,NA,1619
Quercus coccifera,PROFITMAX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,coccifera,NA,1605
Quercus ilex,PROFITMAX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,ilex,NA,1606
Quercus ilex,PROFITMAX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,ilex,NA,1614
Quercus petraea,PROFITMAX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,petraea,NA,1612
Quercus pubescens,PROFITMAX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,pubescens,NA,1613
Quercus suber,PROFITMAX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,suber,NA,1607
Rosa cymosa,PROFITMAX,FALSE,FALSE,Liu et al. (2010),Rosa,cymosa,NA,1620
Allocasuarina luehmannii,PROFITMAX2,FALSE,TRUE,Posch & Bennett (2009),Allocasuarina,luehmannii,NA,1598
Beta maritima subsp. marcosii,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,PROFITMAX2,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Broussonetia papyrifera,PROFITMAX2,FALSE,FALSE,Liu et al. (2010),Broussonetia,papyrifera,NA,1615
Cedrus atlantica,PROFITMAX2,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,1599
Cinnamomum bodinieri,PROFITMAX2,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616
Cistus albidus,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Eucalyptus pilularis,PROFITMAX2,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,pilularis,NA,1602
Eucalyptus populnea,PROFITMAX2,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,populnea,NA,1603
Ficus tikoua,PROFITMAX2,FALSE,FALSE,Liu et al. (2011),Ficus,tikoua,NA,1621
Glycine max,PROFITMAX2,FALSE,TRUE,Liu et al. (2005),Glycine,max,NA,1604
Helianthus annuus,PROFITMAX2,FALSE,TRUE,Tezara et al. (2008),Helianthus,annuus,NA,1622
Hypericum balearicum,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Lysimachia minoricensis,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Lysimachia,minoricensis,NA,1633
